#iocell	A	X	Y	Z	W	R	S1	S2	S3	S4	S5
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	1	0	0	0	0	1	0
0	0	0	1	0	0	0	0	0	1	1
0	0	0	1	1	0	0	0	1	0	0
0	0	1	0	0	0	0	0	1	0	1
0	0	1	0	1	0	0	0	1	1	0
0	0	1	1	0	0	0	0	1	1	1
0	0	1	1	1	0	0	1	0	0	0
0	1	0	0	0	0	0	1	0	0	1
0	1	0	0	1	0	0	1	0	1	0
0	1	0	1	0	0	0	1	0	1	1
0	1	0	1	1	0	0	1	1	0	0
0	1	1	0	0	0	0	1	1	0	1
0	1	1	0	1	0	0	1	1	1	0
0	1	1	1	0	0	0	1	1	1	1
0	1	1	1	1	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0	1
1	0	0	0	1	0	1	0	0	1	0
1	0	0	1	0	0	1	0	0	1	1
1	0	0	1	1	0	1	0	1	0	0
1	0	1	0	0	0	1	0	1	0	1
1	0	1	0	1	0	1	0	1	1	0
1	0	1	1	0	0	1	0	1	1	1
1	0	1	1	1	0	1	1	0	0	0
1	1	0	0	0	0	1	1	0	0	1
1	1	0	0	1	0	1	1	0	1	0
1	1	0	1	0	0	1	1	0	1	1
1	1	0	1	1	0	1	1	1	0	0
1	1	1	0	0	0	1	1	1	0	1
1	1	1	0	1	0	1	1	1	1	0
1	1	1	1	0	0	1	1	1	1	1
1	1	1	1	1	1	0	0	0	0	0
